a-coruna,medium
alava,low
alicante,low
almeria,low
asturias,medium
avila,low
badajoz,high
baleares,low
barcelona,medium
burgos,medium
caceres,high
cadiz,medium
cantabria,medium
castellon,low
ciudad-real,high
cordoba,high
cuenca,low
girona,medium
granada,medium
guadalajara,medium
guipuzcoa,low
huelva,medium
jaen,high
la-rioja,low
lleida,medium
lugo,medium
madrid,medium
malaga,low
murcia,low
tenerife,null
ourense,high
palencia,low
pontevedra,medium
salamanca,medium
segovia,medium
sevilla,high
soria,medium
tarragona,low
teruel,low
toledo,high
valencia,low
valladolid,low
vizcaya,high
zamora,low
zaragoza,low
